"mvc","Abreviation for a software architecture pattern which separates the representation of information from the users interaction with it...also very sexy"
"mouse","helps us use our computers as well as cleanup crumbs in the kitchen"
"www","Abreviation for what Tim Berners-Lee (or maybe Al Gore)invented...also has a lot of pictures of cats on it."
"emoticon","These are the little text-based faces and objects that you often see in e-mail and online chat."
"recursive","This type of loop calls itself...dont for get the base case"
"binary","This kind of search takes the middle number of a sorted array and removes the half without the number you are searching for"
